Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Alabama,Alaska,Arizona,Arkansas,California,Connecticut,Delaware,DistrictofColumbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,NewHampshire,NewJersey,NewMexico,NewYork,NorthCarolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,PuertoRico,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Vermont,VirginIslands,Virginia,Washington,WestVirginia,Wisconsin,Wyoming
25,"Career/Technical Education Teachers, Postsecondary",3.62,2,1.38,2.88,3.25,2.5,2.12,2.88,4,4,2.12,2,3,2,2,2.62,3.88,3.88,2,2,3,2,2,1,2,57890,73340,69890,54080,89810,66280,60140,65740,62420,56220,57350,55240,57770,67070,63280,66540,57900,50930,57240,68130,69010,77990,69530,79180,53460,66780,60970,72360,65320,86070,75910,78730,84560,58260,73700,68750,70690,81390,67690,60030,71000,72540,64630,59890,69900,51200,65120, ,58480,78130,62530,89740,56430
25,"Career/Technical Education Teachers, Secondary School",3.75,1.88,1.38,3.25,3.75,2.75,3,3,4.12,4.12,2.88,1.88,3.25,2,2.12,2.88,4,4,2,2,3,3,2,2,2,76810,75520,60340,60220,94190,90360,77590,103630,62790,68680, , ,63940,82430,62550,60850,57440,61170,61070,60190,84120,89940,70400,69400,55800,68980,63930,61440,64920,71520,83190,69750,87480,56600,60500,77390,61590,78170,75400,53070,77900,64990,53260,58010,64330,65870,73670, ,72060,95360,55950,66980,63970
25,"Chemistry Teachers, Postsecondary",4,1,1,3.12,3.88,1.38,3,3,4,4.12,2.25,1,3.12,1,1,2.38,4,4.12,2,2,1,2,2,1,2,86880, ,110220,76870,145410,114370,90610,110970,65490,95950, , ,79920,98950,93770,95410,112260,100600,89200, ,108560,113920,106790,115430,77820,101990,99350,87200,103480,110510,114610,88360,115890,95460,108580,80160,79980,105160,99010,82040,107040,91210,77440,94670,97680,117700,80740, ,94010,89300,89620,104740,85680
25,"Communications Teachers, Postsecondary",3.75,1,1,3,3.75,1.12,2.25,2.88,4.12,4.12,2.12,1,3,1,1,2,4,4,2,2,3,2,2,2,1,66270,56280,77480,63440,149930,99610,70760,96940,78800,75170, ,40690,91140,81970,73940,77180,79950,67840,85060,84380,90530,90520,88030,81550,61370,78940,96140,79640,75840,77310,99210,59160,105650,72590,80630,70780,70160,104800,87420,81290,94530,74410,62720,69990,85170,72570, , ,86130,72650,73910,84560,72280
25,"Computer Science Teachers, Postsecondary",3.88,1,1,3.12,3.88,1.38,3,2.88,4.12,4.12,2.75,1,3.12,1,1,2.38,4,4,2,2,3,2,2,2,1,99330, ,94370,65070,151670,132200,89730,100040,95410,96530, ,58040,86700,104780,100230,96880,94810,88630,100740,105780,106600,122190,108560,90930,73180,100970,98120,108660,110950,115660,106290,88400,110380,86080,92210,85450,84980,103010,100640,75310,100290,89660,75590,96160,104730,107910,104380, ,129930,91310,82100,107380, 
25,"Criminal Justice and Law Enforcement Teachers, Postsecondary",3.75,1,1,3,3.88,1,2,2.75,4,4.12,2,1,2.88,1,1,2,4,4,2,2,2,2,2,2,1,68850, ,83080,60160,146040,80170,80080,93410,63650,68430, , ,76780,72760,65330,67750,54480,61570,89850,67110,82500,92950,76180,82740,86910,77820, ,76340,76680,80620,83050,66090,95760,60130, ,76240,57740,97770,79970,78030,90260,71780,69890,63460,86290,77930,72000, ,88860,70570,74230,99340,75540
25,Curators,3.88,1.62,1.12,3.38,3.75,2,2.88,2.75,4,4,2.75,1,3.12,1.75,2.12,3.25,4,3.88,2,2,3,2,2,2,1,63820,73760,69080,67580,86440,78770,58820,96080,61820,58300, ,67230,56820,68530,56790,51750,66510,56380,64430,55670,67700,80300,68500,61570, ,63200,52470,56460,72900,58150,68800,59580,96500,54420, ,68900,55450,59280,66580, ,71910,56900,64940,59660,61730,50900,56170, ,66100,72730,58380,63970,56170
25,"Economics Teachers, Postsecondary",3.88,1,1,3.12,3.75,1,3.38,3,4,4.12,2.5,1,2.88,1,1,2.5,4,4,2,2,1,2,1,1,1,130060, ,163430,95700,151300,196450,113490,155340,64660,121330, , ,97240,128650,128410,127930,126180,126860, ,120830,163200,157350,144770,125420,95120, , , , ,173050,135630,110050,146720,132670, ,106390,108010,117470,125860, , ,110800, ,113770,132300,102340,113800, ,146920,100690,101770,138560, 
25,"Education Teachers, Postsecondary",3.88,1.12,1,3.12,3.88,1.75,2.12,2.62,4.12,4.38,2.12,1,2.88,1,1,2.12,4.12,4.12,2,2,2,2,2,2,1,68990,71830,77870,70720,100600,80780, ,81560,72740,66450, ,67690,70000,66660,71670,59530,72040,66840,98060,75440,72170,90280,79190,80780,64880,73530,76200,83180,76260,77550,88470,67910,101010,72270,77120,68010,60400,79880,71040,73370,84550,73740,65120,73130,78680,74590,75000, ,81900,74140,71360,74150,70110
25,"Elementary School Teachers, Except Special Education",3.88,1.38,1.38,3.88,4,1.5,3,2.88,4,4.62,2.62,1,3.12,2.12,2,2.62,3.88,3.88,2,2,3,3,2,2,1,56220,77460,58660,54400,93150,82420,68680,90700,58870,69120,35220,61040,59540,70470,58720,55580,54280,56880,55940,63610,73620,84050,66520,70160,49400,54470,58300,59590,63230,67900,79730,69150,91990,51890,57610,68880,52310,75030,71000,43720,78720,58650,50360,55800,60510,65240,64950,51940,68510,93080,52970,65220,62500
25,"Engineering Teachers, Postsecondary",3.88,1,1,3.25,3.88,1,3.75,2.88,4,4.38,2.62,1.12,3,1,1,3.12,4.12,3.88,2,2,2,2,1,2,1,109740,117670,112650,99370,135620,110980,101710,106730,85780,140560, , ,105460,128540,122590,123380,123020,117890,123320,110360,123220,128380,129800,116770,99970,104940,132790,105630,112000,112770,114150,103610,129080, ,109800,108540,96160,108590,118220,73660,106750,102350,97000,126720,129630,103930,105840, ,128320,117380,104680,114940,97660
25,"English Language and Literature Teachers, Postsecondary",3.88,1,1,3.25,3.88,1,2,2.75,4.25,4.62,2,1,2.88,1,1,2,4.88,4.25,2,2,3,2,2,2,1,66000,80550,83570,68010,141370,96630,68310,97400,71920,69650, ,52410,73080,79950,78520,78040,71820,70560,74810,90720,90840,103410,92360,83720,58930,84140,75380,84120,73840,93190,104870,82000,116560,66770,69320,71930,57190,97320,83790,72990,90170,72950,61860,67060,92090,69540,95720, ,86810,76050,68550,84410,71460
25,"Environmental Science Teachers, Postsecondary",4,1,1,3.12,4,1,3.12,2.75,4,4.38,2.25,1,2.88,1,1,2.12,4.12,4,2,2,2,2,1,1,1, , ,83630,59310,124540,103160, ,102920,75510,91870, , ,93810,99660,89130,94160, ,113500,75960, ,116130,109130,116170,106880, , ,110060, ,99750,96040,93590,99880,114310,83920, ,79850,120670,97190,91730, , ,93570, ,88390,99500, ,93840, ,112300,108320, ,84860, 
25,"Family and Consumer Sciences Teachers, Postsecondary",3.62,1,1,3,3.5,1.12,2.75,2.75,4,4.12,2.25,1,2.75,1,1,2.25,4.12,4,2,2,1,2,2,1,1, , , , ,129200, , , , , , , , ,77380,72540,86040, ,71100,76990, , , ,100410, ,81450,75730, , , , ,51810, , ,78720, ,78650,75090,76920,73590, , ,69860, , , ,86110, , ,72180,69030, , , 
25,Farm and Home Management Educators,4,1.75,1.5,3.5,4,2,3,3.12,4.12,4.5,2.88,1.88,3,1.75,1.75,3,4.12,4,2,2,3,3,2,2,1,62280, , ,51980,89940, ,67620, ,58150,47580, ,47180,97940, ,62290,55410,62040,59170, ,69040,77320, ,62760, , , ,61650,65560, , , ,63380,51250,62210,63940, , ,82630,59060,55320, , ,62610, ,40440, , , ,68400,68060,54500,58940,64870
25,"Foreign Language and Literature Teachers, Postsecondary",3.38,1,1,2.88,3.62,1,2,2.88,4.12,4.25,2.12,1,3,1,1,2,4,4,2,2,2,2,2,1,1,67480,56750,76830,67120,126260,114220,65710,85270,71340,72450, , ,77320,82090,76580,78090,75550,74130, , ,91530,106900,81580,84090,51150,87540,86750,61550,78520,88090,89140,77240,108940,67610, ,62430,57200,94160,80220,77650,96500,74710,71160,67830,85480,75690, , ,79190,76710,70340,79140, 
25,"Forestry and Conservation Science Teachers, Postsecondary",3.75,1.38,1.38,3.12,3.75,1,3.25,2.75,4.12,4.75,2.38,1.62,2.88,1.38,1.62,2,4.25,4.12,2,2,3,2,2,2,1,79950, ,89360, , , , , , ,101390, , , , ,108850, , , , ,106870, , ,130720,108590, , ,91730, , , , , , , , , , ,112600, , , ,106130, ,119130,107570, , , ,123750,95130,101670,96030, 
25,"Geography Teachers, Postsecondary",3.75,1,1,3.12,3.75,1,2.62,2.5,4,4.25,2.12,1,2.88,1,1,2.25,4,4.12,2,2,2,2,2,2,1, , ,91530, ,160400,93900, , , ,85810, , , ,88620,95390,89740, ,87340, , ,122390,100670,78970,95870,91760,87590, , , , ,84920,88110,102710,88700, ,82570,83930,109560,90150, , ,93380, ,81450,96520,84890,105050, ,105250,85320, ,90270, 
25,"Health Specialties Teachers, Postsecondary",3.88,1.75,1.38,3.12,3.75,1.62,2.88,2.88,4,4.75,2.12,1.5,3,1.62,1.75,2.12,4.12,4,2,2,3,2,2,2,1,99650,77090,125330,160210,134530,140130,106110,158400,137640,149720, ,60300,88950,113510,121040,125530,115080,111750,111130,132260,141440,162370,128710,117060,152440,120030,122270,115280,113240,118410,122530,166910,158660,157910,109690,107000,96190,138290,120490,93240,121630,97120,82900,110240,162700,156660,126930, ,136450,148910,135750,97380,82180
25,"History Teachers, Postsecondary",3.88,1.25,1,3,3.88,1,2,2.88,4,4.75,2.12,1,3,1,1,2,4.12,4.38,2,2,3,2,2,2,1,64800,65960,111770,55560,130670,127020, ,91330,62000,78880, ,65240,74080,90260,87690,80620,91710,77800,78350,92310,101190,108880,97410,92810,68180,84710,100600,78600,80240,114090,111180,96230,113800,79670, ,75100,67650,94540,92760,75650,119030,77970,69740,75330,93790,80670,86500, ,96900,81260,67130,93460,66120
25,Instructional Coordinators,3.88,1,1,3.62,3.75,1.25,3,3.12,4.12,4.25,2.62,1,3,1.38,1,3,4.38,4.25,2,2,3,3,2,2,1,74630,68190,67620,70640,101460,95550,72350,105770,68610,79590, ,71920,60180,78760,65660,72630,65830,65570,66120,71790,95520,87900,79720,82350,64830,70920,63250,71730,71520,77690,87470,75710,82270,65030,71730,82650,63330,84790,72870,35390,62140,66420,65670,69640,71960,61430,80260, ,85310,90770,68450,87060,73990
25,"Kindergarten Teachers, Except Special Education",3.38,2,1.5,3.75,3.38,1.62,2.5,2.75,3.88,4.12,2.62,1,3.25,1.88,2.25,2.38,4,3.88,2,2,3,3,2,2,1,50490,69660,56730,52790,88930,88570,61140,76770,60090,67650, ,61020,60560,68100,57060,55240,55890,57300,53520,60730,73110,82790,66160,70600,48220,57870,54480,59020,63630,61850,74590,69080,85130,50610,57030,68430,51640,77690,64270,56870,83660,58240,49580,54650,60690,60510,63720, ,68410,88810,55100,59980,61240
25,"Law Teachers, Postsecondary",4,1,1,3,4,1,2.12,2.62,4.12,4.62,2.25,1,2.62,1,1,2,4.38,4,2,2,2,2,2,1,1,148160, ,138150,117840,132800,140840, ,129180,144680, , , ,105270,127740,150470,165580, ,126030,143100,157650,147190,174240,173710,152180,65800,137500, , , ,155700,146830, ,153640,140840, ,90150, ,141000,123910, , ,151670, ,170840,160050,157220,150840, ,146290,127700, ,148770, 
25,Librarians and Media Collections Specialists,3.25,1.88,1.75,3,3.25,2.25,2.12,2.75,4.12,4.25,2.62,1.25,3,1.12,1.88,2.12,4.12,3.75,1,2,2,2,2,2,1,58510,77090,61090,54530,90960,79080,77850,94300,63860,70900, ,67340,52930,67380,52880,54270,53860,62370,60090,56920,85520,76600,61030,73480,49200,55210,61090,57760,76480,63370,81250,64380,82150,62070,64520,59720,55120,73900,61700,50460,72800,60900,51970,57330,64910,55760,61090,57150,73340,91280,49240,65400,50550
25,"Library Science Teachers, Postsecondary",3.88,1.38,1,2.88,3.88,1,2.25,2.88,4.25,4.25,2.25,1,2.88,1,1,2.12,4.25,4,2,2,2,2,2,1,1,73460, , , ,133140, , , ,76700,71340, , ,69990,76430,84750, ,74330,65010, , ,104870,77480,81330,83180,65870,70820, , , , ,88850, ,72810,79710, ,81950,69380,82550,82200,66360, ,70110, ,80880,79410,77860, , ,86110,112830, ,62100, 
25,Library Technicians,3,2.12,1.25,2.12,2.88,2.5,2,2.38,3.38,3.38,2.75,1.12,2.88,2,2.25,2,3.25,3,1,1,1,1,1,1,1,35930,46830,41630,32180,54580,55290,46090,60160,42960,36170, ,46070,33550,45400,33480,39980,40250,32730,38440,42690,51860,51870,35510,47230,29070,38580,36290,38030,43500,47810,48280,39240,47940,42900,39240,37320,32670,46930,40260,31720,48610,35920,33060,34770,38200,36400,44280, ,45060,59880,34340,34330,36770
25,"Mathematical Science Teachers, Postsecondary",4,1,1,3.12,3.88,1,4.25,3,4,4.12,2.12,1,2.88,1,1,2.12,4,3.88,2,2,2,2,1,2,1,70760,103910,78830,63870,144630,103330,74750,92150,83390,71060, ,61960,76220,79200,85150,91620,72760,76240,79680,86350,107120,92850,102470,92770,67550,86430,85690,84340,79990,97530,109610,69220,114270,80910,77630,75010,63350,93790,85300,66760,110000,74850,70080,81470,92230,86910,88410, ,86030,88120,79070,92760,71340
25,"Middle School Teachers, Except Special and Career/Technical Education",3.75,1,1,3.38,3.25,1.25,2.88,3,3.88,4.25,2.75,1,3,1.38,1,2.5,3.88,3.88,2,2,3,3,2,2,1,57750,78550,60670,56700,92840,85560,68700,84260,58220,69310,40900,63480,60280,72410,60010,56120,57410,57720,56880,63080,79000,85230,64850,67540,51850,60500,62000,61620,69720,68700,79750,75190,92640,52350,59850,70250,53460,76820,75490,51520,79310,60690,51240,56610,62240,75040,65680, ,66720,94230,51730,65640,63860
25,Museum Technicians and Conservators,3.25,2,1.25,3.25,3.12,3.12,2.25,2.75,3.62,3.75,2.88,1.75,3,1.88,2.75,3.25,3.5,3.5,2,2,2,1,1,1,1,45000,65000,49530,44090,60950,68240,46030,73730,53210,54910, ,40770,39520,50140,49760,52450,42570,40420,38600,46890,83440,61060,42140,45740, ,48380,42520,43970,48970, ,48020,52120,69950,40330, ,51230,44790,48730,50770, ,59610,37720,39390,44620,39120,42360, , ,55970,60780,51080,37250,49490
25,"Nursing Instructors and Teachers, Postsecondary",3.88,2,1.5,3.12,3.88,2.12,3,2.75,4.12,4.12,2.88,1.5,3.12,2,2,2.12,4.12,4,2,2,3,3,2,2,2,82490,94990,75190,68370,101770,93090,89730,107570,88970,74340, ,97820,83570,83400,80740,73820,71980,76450,73790,83270,85580,90830,83140,83060,75670,76520,85630,83670,86640,80760,99990,74280,99170,82550,83460,74930,67400,109570,82980,72110,76580,85470,69190,80260,104640,78430,80530, ,80180,85680,78680,79410,73570
25,"Philosophy and Religion Teachers, Postsecondary",3.88,1,1,3,4,1,2,3,4,4.12,2.25,1,2.5,1,1,2,4.12,4,2,2,1,2,2,1,1,63710, ,89540,72800,116680,89240, ,81420,70410,76940, , ,67480,78220,84410,76220,76320,75430,78930,99730,83570,101620,88100,79110,75370,81810, ,79230, ,100510,87400, ,105950,86320, ,72250,68150,84300,84160, ,92010,76690,48310,75020,93570,92340,86650, ,89850,81800, ,86110, 
25,"Physics Teachers, Postsecondary",3.88,1,1,3.25,3.88,2.12,3.88,2.88,4,4.38,2.25,1.5,2.88,1,1,2.38,4,4,2,2,2,2,2,2,2,88410, ,116930,95500,138700,147970,91580,95100,68450,104870, , ,83310,97910,106410,115040,100850,95620,96910,112830,123850,113000,111870,112690,70530,95970,101420,100180,91800, ,98130,102210,119610,99180, ,89650,84070,103580,102120,81280, ,88620,80760,98220,103500,91420,88720, ,101930,93320,84940,107960, 
25,"Political Science Teachers, Postsecondary",3.25,1.25,1,3,3.75,1,2,2.75,4.12,4.12,2.12,1,3,1,1,1.88,4.25,4,2,2,2,3,2,1,1,82280, ,98590,70340,130220,132800, ,98550,66220,89880, , , ,97340,94730,90230,88880,94880,90420,109750,121980,124370,121120,106240,70760,102090,108540,89840,91560, ,110930,92500,135390,98060, ,83970,75070,93580,96840, ,101890,85370,70330,101350,107320,79090,103890, ,110820,92150,79980,108950,76030
25,"Preschool Teachers, Except Special Education",3.5,2,1.38,3.62,3,2.12,2.38,2.75,4,4,2.62,1.25,2.88,2.38,2.12,2.62,3.62,3.12,1,2,2,2,2,1,1,30920,48000,37250,37000,48560,48570,33590,59420,34830,45760,23410,45700,33680,41500,36570,34190,43110,35240,39940,40780,45990,48630,39070,43340,29720,38230,36770,50760,38510,39660,52770,47120,50050,33620,43580,35060,40150,43580,35250,32310,38400,37960,35250,41080,38280,36080,46490,38040,42300,44670,35160,34670,33660
25,"Psychology Teachers, Postsecondary",3.88,1,1,3.25,3.88,1,2.88,2.88,4,4.5,2.12,1,2.5,1,1.12,2.12,4.12,4.12,2,2,2,2,2,1,1,81200,88170,85490,66580,121250,101380,83940,93800,83400,82970, ,59070,76610,77540,83840,83980,91460,77210,87400,81700,116940,97240,96410,93430,71610,85470,85550,88200,82220,95380,101130,86080,111900,82820,103790,74280,69070,108920,83420,66630,94000,79330,69370,83720,93400,83090,87370, ,92040,77610,78740,82580,69970
25,"Recreation and Fitness Studies Teachers, Postsecondary",3.75,1.38,1,3.25,3.75,1.12,2.5,2.62,4,4.12,2.12,1,3,1.62,1.38,2.12,4,4,2,2,3,3,2,2,1,68700, ,104780,67110,137540,75570, , ,85890,66750, , ,80680,83760,70930,72210,67450,70060,71390,87370,98180,84450,107530,81980,72520,93230, ,85690, ,71970,85520,70400,92970,70160,59460,66020,78550,92780,79420,67500, ,83500,59760,79800,80500,69580, , ,68980,72150,71330,67430,69280
25,"Secondary School Teachers, Except Special and Career/Technical Education",4,1,1,3.62,3.62,1.38,3,3,4.12,4.25,2.88,1,3,1.25,1,2.88,4,3.88,2,2,3,2,2,2,1,58850,80190,65480,56820,102040,81370,71170,82310,61880,70340,40790,63030,64370,82100,64910,58310,57300,59960,60690,62690,77000,87200,68890,71910,52060,58640,57760,61460,66990,69450,84800,70130,97730,53840,59510,74880,54940,80030,76150,49100,81190,61590,51770,59340,62980,71670,67570,54690,71260,95830,54360,64370,65210
25,Self-Enrichment Teachers,3.12,1.75,1.25,3,3,1.88,2,2.5,3.88,4,2.12,1.25,2.62,1.88,1.75,2.5,3.12,3.12,1,2,1,2,2,1,1,40430,50740,48470,34720,59960,59780,46910,61130,47100,54570, ,64430,38150,50690,40790,41690,42090,42140,47460,50730,63600,64460,44460,46830,45730,42930,45510,43550,42970,60380,58170,53120,71660,45570,42670,41970,57990,50560,42380,41870,46460,44700,57400,43670,39570,47180,60480,40540,59600,52490,46960,43210,45090
25,"Social Work Teachers, Postsecondary",4,1,1,3.38,4,1,2.38,2.75,4,4.75,2,1,2.62,1,1,2,4,4,2,2,2,2,2,2,1,79860, ,75830,70590,130330,89470,70440,80770,69730,72600, ,118510,65060,78460,76430,71190,91840,70420, ,86780,96790,97140,80400,77590,66820,71830,54580, ,77160,76110,83240,65250,105750,72690, ,63810,64430,76550,82010,94870,88200,99670,67620,70020,89280,70840, , ,75500,83370,73510,76830, 
25,"Sociology Teachers, Postsecondary",3.88,1.12,1,3.12,4,1,2.12,2.25,4,4.5,2.12,1,2.62,1,1,1.88,4,4,2,2,2,2,2,2,1,66940,86460,113460,79750,138020,116080,79800,110670,99140,97020, , ,70510,88680,88730,77460,85420,83260,97290,85550,94670,109030,102010,93970,70620,85360,82830,85740,89640,121300,106120,86120,114380,82850, ,76170,61930,92100,94630,104270, ,72160,66580,74820,94840,91750,80910, ,81530,82110,78540,110120, 
25,"Special Education Teachers, Middle School",3.88,1.25,1.25,3.12,3.88,1.12,2.75,2.88,4,4,2.75,1,3.12,1.62,1,2.5,4.12,4,2,2,3,3,2,2,1,58320,77750,58990,55770,95850,84850,72090,88890,59630,70640, ,63360,57280,73040,57570,57710,57860,55820,55220,65490,78320,86210,65870,66930,52790,56850,64180,61060,51200,64230,79570,74980,92510,57060,59610,70700,56910,77020,76390,55040,78680,64010,50830,56400,63350,70490,64380, ,71200,92700,52870,66700,64170
25,"Special Education Teachers, Preschool",3.88,2,1.75,3.25,3.75,2.12,2,2.5,4,4.12,2.5,1,3.38,2,2,2.25,4,3.75,2,2,2,2,2,2,1, ,70040,61430,36390,60640,72840, , ,52640,77480, , , ,63870,58900,41190,56010,55230,51180, , ,80820,67110,66910,49370,51580, ,63300, ,59290,94410,64940,114720,54250,63170,67660,45040,61230, , ,63840,55680, ,57880,56880,58310,70490, ,70990,86250,39660,59900,53370
25,"Special Education Teachers, Secondary School",3.75,1.25,2,3.75,3.75,1,2.88,2.88,4,4,2.75,1.38,3.25,1.88,2,2.62,4,4,2,2,3,3,2,2,1,59840,78710,70340,54600,101330,81960,72080,94490,63220,70910, ,65630,51430,82390,64000,59600,63120,57330,56220,60670,83010,85200,71150,72800,52800,57160,62790,62900,68220,72970,84010,70670,94260,54200,59740,70040,55480,79200,73230,54390,82100,62960,52290,57530,63590,58350,69940, ,71240,93300,54510,65030,63920
25,"Teaching Assistants, Postsecondary",3.12,1,1,3.12,3.12,1.62,2.25,2.25,4.12,4.12,2.12,1,3,1,1,2.12,4,3.5,2,2,1,1,2,1,1,23700,26460,46670,32630,54170,60230, ,47130,36560,37640, ,38970,42410,49040,44180,49940,43120,46170,28610,47750,57660,49690,47790,47560,22500,41910,36630,47920,33940,46150,58550,48420,50640,43280,46620,65320,38980,48730,43410,42410,45300,34950,38790,31410,45750,39100,41490, ,49730,46670,37170,44270, 
25,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",3.38,2.25,2,3.25,3.12,2,2.62,2.62,3.75,3.75,2.75,1.12,2.88,2.38,2.12,2.75,3.75,3.5,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,Tutors,3.38,1,1,3.38,3.38,1.62,2.88,2.88,4.12,4,2.25,1,3.12,1,1,2.12,4,4,2,2,3,2,2,2,1,34930,43540,49030,44770,49750,60060,35460, ,46990,45040, ,39220,37300,40550,48210,43570,36770,34960,35010,54770,53010,60940,42390,43460,54640,38630,42520,44520,34340,52600,49530,41540,60120,44670,42590,48510,35400,52170,45780, ,65580,42090,37940,46640,35140,40020,53870, ,55330,43820,45990,43520,68690
27,Actors,2.88,2,1.5,3,2.88,2,1,3.88,4,4.12,2,1,3,2,2,2.62,3.88,2.88,1,1,2,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,Art Directors,3.62,1.12,1,4.25,3.5,2.12,2.5,2.38,4,4,2.75,1.25,2.75,1,1,3.88,4,3.38,2,2,3,3,2,2,1,81740,64690,99430,75590,150260,109080,97830,126430,99120,128630, ,101050,100100,110670,118070,84410,77270,79340,80030,79010,110270,145220,98540,109120, ,96680,80180,74380,105480,109040,130770,63600,156580,100270, ,97360,81850,150600,101410,62970,87200,82600, ,96710,94990,97080,106200, ,97980,154700, ,97430, 
27,Athletes and Sports Competitors,3.38,3.62,3.62,2.88,3.38,3.12,2.12,2.38,4,3.88,2.88,2.88,3.12,3.88,3.88,3,3.25,2.75,1,2,2,2,2,1,2,93090, ,80770, , ,108700, , ,63560,229340, , , , ,130900,118540,50660,64590, ,74250, , , , , ,500220, , , , ,211960, ,166360, , ,59890,38580, ,74940, , , , ,63250,321640,244150, , ,70290, , ,94790, 
27,Audio and Video Technicians,3.38,2,1.62,2.88,3.25,3,2.12,2.12,3.75,3.88,3,2.12,3.12,2.12,2.12,3,3.5,3.5,2,2,2,2,1,1,3,48890,56780,52790,44450,72840,69330,67120,76440,55910,57890, ,59450,47880,57620,52540,52920,53430,45060,45470,47540,61150,63730,53500,52760,40160,60360,43730,51160,67130,62510,79950,47890,73720,45280,45170,51000,51250,57390,61300,31600,58670,57850,42090,51110,51960,44660,44610, ,56050,82130,62390,50390,57830
27,Broadcast Announcers and Radio Disc Jockeys,3.38,1.5,1.5,3.5,3.38,2.25,1.75,3,4,4.88,2.12,2,3.25,1,1.5,2,4,3.88,1,2,2,2,2,2,1,44490,53230,60050,32960,157630, , , ,85300,54480, ,60440,53430,51660,60480,36280,45090,36300,38280,42270,87970,103800,64570,57460,61790,57370,37570,45620,94490,53980,127640,47860,174340,62350,47430,51810,43680,55260,59610,34250,65220,43200,43100,52870,71920,82950,43480, ,53650,55970,35860,56590,38580
27,Broadcast Technicians,3.25,2,1.12,3,3.12,3,2.62,2.62,3.62,3.25,3,2.5,3.12,2,2.38,3,3.62,3.25,2,2,1,1,1,2,3,49170, ,72010,45440,86030,75240, ,93530,60140,50960, ,59360,43260,75050,47550,46860,54870,53790,56690,74820,57880,61760,51430,50680,38380,51910,53540,42710,63030, , ,52130,85370,49240,46380,46420,59590,55740,64480,35040,54080,50280,34450,52880,51010,38690,51020, ,58010,60370,33640,55950,45450
27,"Camera Operators, Television, Video, and Film",3.12,2,1.62,3.12,3.12,3.12,2,2.12,3.5,3.62,2.88,2.12,3.25,2,2.62,3.75,2.88,2.75,1,2,2,2,2,2,3,58000, ,95300,45380,99090,67270, ,97450,72570,77630, ,51470,57990,88110,55890,53450,54930,48880,62130,49940,75770,66350,55310,66210,55860,60390,42240,44760,73490,51170,100430,55520,95360,62460,49630,71870,54200,85800,59760, , ,55340,41510,71570,71490,56950,56980, ,67660,62920,50100,51060, 
27,Choreographers,3.62,3.75,2.62,3.88,3.25,1.88,2,3,3.88,4,2.62,1.75,3.12,3.75,2.75,3.75,3.62,3,1,2,3,2,2,2,1,39430, , , ,72810, , , ,44980, , , , ,32660, , ,38940, ,52730, ,63330, , , , , , , , , , , ,108470,73630, ,58340, , , , , ,45910,45890,62430,47010,48150, , ,46730, , , , 
27,Coaches and Scouts,3.75,2.5,1.88,3.75,3.75,2.38,2.25,2.75,4.12,4.62,2.62,1,3.12,2.62,2.88,3.38,3.75,3.5,2,2,3,3,2,2,2,61180,42810,60960,50630,62850,66170,55080,99740,58100,50570, ,56910,60160,61430,49260,52140,48830,57140,78720,60140,68620,63050,58350,59210,65650,52630,45850,60780,54210,57420,84980,54880,64020,59630,45000,50340,57330,60150,64030,34380,60710,56500,41950,52210,52570,55640,58770, ,58430,57320,66580,53930,68100
27,Commercial and Industrial Designers,3.75,1.62,1,3.88,3.38,2.12,2.75,2.5,3.75,3.75,2.75,1.75,3.12,1,1.12,3.75,3.75,3.12,2,2,2,3,2,2,1,69750, ,90270,92920,103410,81240, , ,74770,89370, , ,76640,71040,94050,72580,108990,73640,85890, ,75750,104020,86890,80860, ,82300,72840,80280,97250,90140,86510,60060,95540,81980,63720,73750,77240,78690,79720, ,90060,84600,60820,64900,85670,72030,77310, ,76960,107390, ,78200, 
27,Court Reporters and Simultaneous Captioners,2.88,1,1,1.88,2.62,2.25,2,2.25,4.12,3.88,2.5,1.38,3.75,1,1,1.88,3.88,4,1,1,1,1,1,1,1,57070, ,70970,53290,95840,60150,60680, ,60680,63700, , ,67110,77750,54190,91580,65410,47220,57370, ,67220,74040,58510,68630,57320,61600,56460,71550,59000, ,68420, ,105590,69870,67870,64840,61180, ,65470,36390, ,59610,66910, ,98750,77580, , ,56300,95320,64470,77990, 
